0, 28, 0
5, 27, 2
10, 28, 5
15, 29, 8
20, 31, 11
25, 30, 14
30, 26, 15
35, 26, 18
40, 22, 19
45, 21, 21
50, 19, 22
55, 16, 22
60, 15, 25
65, 12, 26
70, 9, 27
75, 7, 28
80, 5, 28
85, 2, 28
90, 0, 28
95, -2, 33
100, -5, 29
105, -7, 28
110, -10, 28
115, -12, 27
120, -15, 27
125, -18, 27
130, -22, 26
135, -32, 32
140, -25, 21
145, -26, 18
150, -27, 15
155, -29, 13
160, -29, 10
165, -28, 7
170, -29, 5
